k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,n_centroids_history,workers,l_over_k
500,500,5,5,64,628845.6857462368,574676.1101566724,47.45925235748291,25.344131231307983,9,46,"[628845.6857462368, 592814.8467541502, 585122.1328206758, 581471.9709535298, 579059.1349030946, 577162.9316433752, 576131.4512240221, 575383.3844022537, 574972.9911039979]","[15.127503395080566, 1.3435118198394775, 1.3249905109405518, 1.2767391204833984, 1.2544653415679932, 1.2245044708251953, 1.236530065536499, 1.2074470520019531, 1.2419021129608154]","[455, 899, 1382, 1915, 2423]",8,1
500,500,5,5,64,628269.2212795751,567742.1177451018,45.884429693222046,25.71598768234253,10,47,"[628269.2212795751, 586458.6138399935, 578846.7619663784, 575294.4918380013, 573009.5602626104, 571395.0258997999, 570166.4967379391, 569243.0211142607, 568552.9325959381, 568066.7145573163]","[15.115703105926514, 1.2160146236419678, 1.178741455078125, 1.1694633960723877, 1.152970314025879, 1.1587812900543213, 1.1470460891723633, 1.2739779949188232, 1.0830819606781006, 1.1239361763000488]","[444, 817, 1288, 1767, 2280]",8,1
500,500,5,5,64,636908.1217831797,574566.0895459771,44.11792802810669,24.584156036376953,10,48,"[636908.1217831797, 594310.4581636831, 586863.6508587281, 582920.3724158722, 580550.6185592957, 578785.4654813965, 577237.2989000517, 576281.9619457077, 575546.054303014, 574955.0090882102]","[13.806314706802368, 1.1369078159332275, 1.1245698928833008, 1.1296031475067139, 1.1835486888885498, 1.4761841297149658, 1.2097795009613037, 1.1478662490844727, 1.1274333000183105, 1.1302950382232666]","[450, 854, 1338, 1820, 2346]",8,1
500,500,5,5,64,626929.6952655136,577626.8478466164,42.24312233924866,21.68163514137268,7,49,"[626929.6952655136, 591340.2328958167, 584640.7866109039, 581732.6525358912, 580043.1069207834, 579007.9530931407, 578220.900431117]","[14.66732668876648, 1.109229326248169, 1.135772705078125, 1.1791048049926758, 1.1755900382995605, 1.1652343273162842, 1.1640064716339111]","[445, 844, 1318, 1787, 2316]",8,1
500,500,5,5,64,619313.6387764949,568687.9386235138,45.198195934295654,24.43410038948059,8,50,"[619313.6387764949, 583653.3977871119, 576965.2853300779, 573866.4084303931, 572058.1900287786, 570925.2122246113, 570079.597021387, 569366.850335371]","[15.675519704818726, 1.1637392044067383, 1.1369972229003906, 1.123117446899414, 1.1462430953979492, 1.7072699069976807, 1.189404010772705, 1.1920695304870605]","[461, 855, 1336, 1860, 2360]",8,1
500,500,5,5,64,622690.7111268094,569954.4306464916,50.10285258293152,29.05825710296631,12,51,"[622690.7111268094, 585287.372889151, 579196.7327648944, 576526.1983534448, 575095.0133422558, 573982.7259309266, 573034.1766577401, 572198.0401090345, 571418.5324379477, 570840.7461388251, 570440.9387847742, 570152.0411553958]","[15.73662281036377, 1.1582064628601074, 1.1403851509094238, 1.187730312347412, 1.168398141860962, 1.1700031757354736, 1.1394095420837402, 1.1275806427001953, 1.1448040008544922, 1.6283793449401855, 1.1660537719726562, 1.1251089572906494]","[441, 913, 1421, 1880, 2369]",8,1
500,1000,5,5,64,601045.0091345793,569166.9861538333,54.9288866519928,29.663140773773193,12,42,"[601045.0091345793, 585908.259622796, 581079.4289361631, 578348.1068108876, 576521.2201407304, 575004.7667127883, 573638.4054641438, 572259.2022307009, 570935.4095129473, 570108.3554047495, 569696.7070441776, 569421.7865803174]","[15.67844033241272, 1.2339985370635986, 1.2334964275360107, 1.2416048049926758, 1.2449290752410889, 1.2139430046081543, 1.2204217910766602, 1.2076997756958008, 1.2312204837799072, 1.699319839477539, 1.1850943565368652, 1.1880831718444824]","[824, 1620, 2571, 3523, 4471]",8,2
500,1000,5,5,64,595290.2531384494,567778.5637746217,50.490100622177124,25.394975900650024,9,43,"[595290.2531384494, 580127.7959985818, 575884.5271214464, 573360.4929888508, 571785.0548582772, 570492.8139145495, 569646.3535905667, 568689.4340658663, 568101.7336577887]","[15.30253005027771, 1.2515275478363037, 1.212954044342041, 1.142439842224121, 1.1527447700500488, 1.1657416820526123, 1.1428234577178955, 1.217066764831543, 1.7176477909088135]","[900, 1737, 2679, 3697, 4687]",8,2
500,1000,5,5,64,599675.8532120708,569387.9909279709,53.632986545562744,28.217233657836914,12,44,"[599675.8532120708, 584029.612977244, 579675.445985073, 576791.4678803467, 574824.2098038587, 573404.7918308609, 572436.3807736217, 571638.2388200514, 571019.0500272887, 570611.0448356909, 570177.8788102632, 569618.4287348206]","[14.986874341964722, 1.1302669048309326, 1.1557683944702148, 1.1816563606262207, 1.1457617282867432, 1.1299920082092285, 1.2197189331054688, 1.3002123832702637, 1.1422569751739502, 1.2505924701690674, 1.2680237293243408, 1.207073450088501]","[862, 1637, 2623, 3568, 4515]",8,2
500,1000,5,5,64,599834.5359555937,576947.8881599237,48.494101762771606,23.252620697021484,8,45,"[599834.5359555937, 586787.1655131803, 583465.7884908176, 581509.0561915142, 580130.5926684648, 579039.9298388308, 578202.1298765305, 577529.652748538]","[15.07161545753479, 1.1080493927001953, 1.1196691989898682, 1.0761706829071045, 1.0805261135101318, 1.1368834972381592, 1.2722177505493164, 1.2806053161621094]","[838, 1705, 2731, 3759, 4810]",8,2
