artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig51,kmeans||,17,17,4,1,64,exact,3,45,4,3840336.6300590048,3766078.3753041215,20,5.016024827957153,13.093447208404541,False
fig51,kmeans||,17,17,4,1,64,exact,4,46,4,3955570.1665247013,3840774.3393138903,18,4.341607332229614,10.941957235336304,False
fig51,kmeans||,17,17,4,1,64,exact,5,47,4,3835715.6027161754,3663278.0597343137,9,3.7361602783203125,4.553657531738281,False
fig51,kmeans||,17,17,4,1,64,exact,6,48,4,4025817.2217048984,3909607.858257221,10,4.7695841789245605,5.5549843311309814,False
fig51,kmeans||,17,17,4,1,64,exact,7,49,4,4103231.8976621223,4000089.978606964,8,4.343285799026489,4.374817609786987,False
fig51,kmeans||,17,17,4,1,64,exact,8,50,4,4056810.219130703,3960950.3148212284,13,3.9734833240509033,7.767462968826294,False
fig51,kmeans||,17,17,4,1,64,exact,9,51,4,4017339.619214382,3929208.96052231,10,3.7693819999694824,3.269437074661255,False
fig51,kmeans||,17,17,4,1,64,exact,10,52,4,4251926.13961677,4048464.865246392,15,3.496607780456543,6.458801746368408,False
fig51,kmeans||,17,17,5,1,64,exact,0,42,5,3708487.2690857435,3664306.6236316445,8,5.070093393325806,4.127343416213989,False
fig51,kmeans||,17,17,5,1,64,exact,1,43,5,3917974.310770446,3852136.783353705,15,5.006746768951416,8.25868558883667,False
fig51,kmeans||,17,17,5,1,64,exact,2,44,5,3874311.196492094,3818066.2514370237,15,5.127900123596191,9.19910216331482,False
fig51,kmeans||,17,17,5,1,64,exact,3,45,5,3948954.315348641,3839971.996373854,9,5.3479602336883545,4.983613014221191,False
fig51,kmeans||,17,17,5,1,64,exact,4,46,5,4073447.3914386476,4022170.6631447724,9,4.711472034454346,2.9286062717437744,False
fig51,kmeans||,17,17,5,1,64,exact,5,47,5,3853643.6222636877,3700432.6701619457,11,4.916676759719849,6.03697657585144,False
fig51,kmeans||,17,17,5,1,64,exact,6,48,5,3938535.729381109,3824007.213912285,9,5.0006937980651855,4.306818723678589,False
fig51,kmeans||,17,17,5,1,64,exact,7,49,5,3722077.5486395434,3683090.8822610206,15,4.20604395866394,7.559575080871582,False
fig51,kmeans||,17,17,5,1,64,exact,8,50,5,3657958.4694458,3629347.0657019736,5,5.122836589813232,2.6586310863494873,False
fig51,kmeans||,17,17,5,1,64,exact,9,51,5,3936215.9612225727,3867639.3488010177,16,4.809472560882568,9.631821155548096,False
fig51,kmeans||,17,17,5,1,64,exact,10,52,5,3966849.5239653564,3803504.3873172593,9,5.2081077098846436,2.6807351112365723,False
fig51,kmeans||,17,17,6,1,64,exact,0,42,6,3803317.186793096,3782294.0634117145,9,5.39345645904541,4.658633470535278,False
fig51,kmeans||,17,17,6,1,64,exact,1,43,6,4019227.623486686,3971475.9837764143,13,6.304598331451416,8.294739246368408,False
fig51,kmeans||,17,17,6,1,64,exact,2,44,6,4154406.1123978305,4118557.9678121633,8,5.800940036773682,4.724008560180664,False
fig51,kmeans||,17,17,6,1,64,exact,3,45,6,3931611.265092719,3897170.792177969,8,5.706261157989502,4.338618516921997,False
fig51,kmeans||,17,17,6,1,64,exact,4,46,6,3736362.0000565005,3697757.5532508036,9,6.500853061676025,2.7491729259490967,False
fig51,kmeans||,17,17,6,1,64,exact,5,47,6,4212690.636221036,4074671.4308811277,14,5.843314170837402,9.097085952758789,False
fig51,kmeans||,17,17,6,1,64,exact,6,48,6,3916989.8184996294,3657934.0545455455,22,6.137540817260742,14.285813808441162,False
fig51,kmeans||,17,17,6,1,64,exact,7,49,6,3866439.428693064,3831488.9864987805,13,5.167065620422363,7.196375370025635,False
fig51,kmeans||,17,17,6,1,64,exact,8,50,6,3793474.882624813,3736876.651087509,16,5.6046271324157715,9.868830919265747,False
fig51,kmeans||,17,17,6,1,64,exact,9,51,6,4272936.500400083,3999458.9231602354,17,4.993895530700684,10.900684833526611,False
fig51,kmeans||,17,17,6,1,64,exact,10,52,6,4146543.9523968818,3987150.5425653765,14,5.314544200897217,7.554639577865601,False
fig51,kmeans||,17,17,7,1,64,exact,0,42,7,3841681.7934578937,3812521.3814154253,17,5.736861228942871,10.661088705062866,False
fig51,kmeans||,17,17,7,1,64,exact,1,43,7,3788538.5420467714,3759933.704846383,10,6.318484783172607,5.156874418258667,False
fig51,kmeans||,17,17,7,1,64,exact,2,44,7,3868906.0883119926,3839232.258131465,12,5.889426946640015,6.398019075393677,False
fig51,kmeans||,17,17,7,1,64,exact,3,45,7,3806242.8490711334,3785233.7218630435,14,6.4411303997039795,5.996248960494995,False
fig51,kmeans||,17,17,7,1,64,exact,4,46,7,4030058.49464852,3973044.3846172523,20,6.50858736038208,13.150013446807861,False
fig51,kmeans||,17,17,7,1,64,exact,5,47,7,3805525.5679504904,3737883.6620043577,13,5.938048601150513,7.25610089302063,False
fig51,kmeans||,17,17,7,1,64,exact,6,48,7,3719101.286735164,3694326.6738237245,10,6.308699607849121,3.6315505504608154,False
fig51,kmeans||,17,17,7,1,64,exact,7,49,7,4042813.665736318,4012821.8551701508,8,5.585859298706055,5.064367294311523,False
fig51,kmeans||,17,17,7,1,64,exact,8,50,7,3902728.537354505,3839581.9494259916,13,6.451909303665161,4.828641414642334,False
fig51,kmeans||,17,17,7,1,64,exact,9,51,7,3762993.037691208,3686925.80026598,12,6.393059730529785,4.61842942237854,False
fig51,kmeans||,17,17,7,1,64,exact,10,52,7,4050383.887895207,3932921.9673026595,7,6.230821371078491,3.7357966899871826,False
fig51,kmeans||,17,17,8,1,64,exact,0,42,8,3799376.8602321767,3780608.9391981233,10,6.839320421218872,5.399888038635254,False
fig51,kmeans||,17,17,8,1,64,exact,1,43,8,4071239.7211107505,4052200.669186783,18,7.468825101852417,11.88524603843689,False
fig51,kmeans||,17,17,8,1,64,exact,2,44,8,3938120.5268350416,3917790.597996519,7,7.701793909072876,3.330705404281616,False
fig51,kmeans||,17,17,8,1,64,exact,3,45,8,3979112.8989002462,3803957.977176519,12,7.830555438995361,4.96242880821228,False
fig51,kmeans||,17,17,8,1,64,exact,4,46,8,3955695.0692042145,3914842.331229732,15,6.903454065322876,6.772855043411255,False
fig51,kmeans||,17,17,8,1,64,exact,5,47,8,3899147.65520003,3865922.9774337374,19,6.84618616104126,10.521913766860962,False
fig51,kmeans||,17,17,8,1,64,exact,6,48,8,3891103.6973056938,3864884.501386352,9,6.823005199432373,3.027817726135254,False
fig51,kmeans||,17,17,8,1,64,exact,7,49,8,3759392.5809593312,3731465.01095364,7,6.966020345687866,4.512904644012451,False
fig51,kmeans||,17,17,8,1,64,exact,8,50,8,4021958.8405773984,3996382.358093843,9,7.439392566680908,4.591165542602539,False
fig51,kmeans||,17,17,8,1,64,exact,9,51,8,3860437.9596856865,3803340.4919092604,16,7.525832414627075,10.687828302383423,False
fig51,kmeans||,17,17,8,1,64,exact,10,52,8,3838228.404174149,3802034.436179619,10,7.323096513748169,3.0988380908966064,False
fig51,kmeans||,17,17,9,1,64,exact,0,42,9,3785364.613055158,3768367.9262634777,20,10.198435306549072,11.381085395812988,False
fig51,kmeans||,17,17,9,1,64,exact,1,43,9,3837209.4174810606,3763969.5754825743,9,9.033425092697144,5.6874072551727295,False
fig51,kmeans||,17,17,9,1,64,exact,2,44,9,4069115.517780224,4053543.182301267,6,8.383690118789673,3.634624719619751,False
fig51,kmeans||,17,17,9,1,64,exact,3,45,9,3866625.1410671812,3846037.344593196,28,8.557708024978638,22.006272315979004,False
fig51,kmeans||,17,17,9,1,64,exact,4,46,9,3889638.8435071954,3846535.299449779,15,7.935924530029297,6.936317682266235,False
fig51,kmeans||,17,17,9,1,64,exact,5,47,9,3720774.684376174,3687704.333903103,10,8.37391996383667,3.655651569366455,False
fig51,kmeans||,17,17,9,1,64,exact,6,48,9,3724561.584326275,3686713.8553005285,13,8.133292436599731,7.139297246932983,False
fig51,kmeans||,17,17,9,1,64,exact,7,49,9,3729799.0152305327,3709741.422691149,7,7.944734334945679,3.9045345783233643,False
fig51,kmeans||,17,17,9,1,64,exact,8,50,9,3774285.151390245,3731820.3693149774,14,8.374485492706299,7.718254089355469,False
fig51,kmeans||,17,17,9,1,64,exact,9,51,9,3962509.2152045323,3935786.283690325,9,8.33496379852295,2.643860101699829,False
fig51,kmeans||,17,17,9,1,64,exact,10,52,9,3798378.70988387,3776172.2364216913,7,7.597854137420654,2.126108169555664,False
fig51,kmeans||,17,17,10,1,64,exact,0,42,10,3667588.9055797057,3654149.8394265994,9,9.499790906906128,2.8335657119750977,False
fig51,kmeans||,17,17,10,1,64,exact,1,43,10,3976423.0773421424,3882933.1586930295,14,8.653183221817017,6.110333681106567,False
fig51,kmeans||,17,17,10,1,64,exact,2,44,10,4384081.763652641,4172859.5415165545,17,9.00964069366455,8.544945001602173,False
