artifact,method,R,n,d,k,l,r,l_over_k,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,1,43,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,6,48,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,6.0,0.1,bernoulli,10,52,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,1,43,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,6,48,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,7.0,0.1,bernoulli,10,52,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,1,43,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,6,48,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,8.0,0.1,bernoulli,10,52,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,1,43,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,3,45,9.0,238857.9184380616,142949.62980178252,70.0,0.1729297637939453,1.4769232273101807,False
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,6,48,9.0,230974.04775954105,143351.99227452054,33.0,0.16074776649475098,1.2812106609344482,False
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,9.0,0.1,bernoulli,10,52,9.0,232370.81447189173,144229.70663607295,36.0,0.16475653648376465,0.8019447326660156,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,1,43,10.0,233364.43887969622,143595.38748085528,29.0,0.1769576072692871,1.1408686637878418,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,3,45,10.0,232371.19741102078,142929.53039820786,39.0,0.17733192443847656,1.3846237659454346,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,4,46,10.0,240792.9695840302,143982.65717044123,31.0,0.1716926097869873,1.575286626815796,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,6,48,10.0,226678.39128855141,143783.0454953916,43.0,0.18652677536010742,2.903465986251831,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,7,49,10.0,242035.93344203493,143332.3465414364,58.0,0.16708707809448242,2.1926236152648926,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,8,50,10.0,229577.49277972645,145894.89447573147,38.0,0.1635453701019287,2.0999338626861572,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,9,51,10.0,238855.7405241862,145134.64001096442,38.0,0.15278291702270508,2.0317575931549072,False
fig52,kmeans||,1,10000,15,50,5.0,10.0,0.1,bernoulli,10,52,10.0,224729.93779341227,146051.89096027787,33.0,0.15917277336120605,1.0728278160095215,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,0,42,11.0,231718.5942109612,144608.9838390925,43.0,0.16144704818725586,1.9714992046356201,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,1,43,11.0,230175.1542573389,143941.66622672006,32.0,0.17182612419128418,2.0591652393341064,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,3,45,11.0,229565.17055805284,144371.83451400572,25.0,0.20207977294921875,1.3944644927978516,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,4,46,11.0,236900.88634749624,144008.9299782905,31.0,0.1694188117980957,0.9761559963226318,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,5,47,11.0,221836.61604781516,143842.53707408023,26.0,0.1978914737701416,1.1968367099761963,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,6,48,11.0,221645.04630034664,144210.30573773244,56.0,0.18040204048156738,2.7381701469421387,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,7,49,11.0,238639.3929231236,144170.42136540724,36.0,0.1566011905670166,1.2037410736083984,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,8,50,11.0,225999.82611541136,144140.2884184048,25.0,0.14639997482299805,1.7648859024047852,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,9,51,11.0,232690.30795958737,144637.96634182523,48.0,0.17113137245178223,2.8969173431396484,False
fig52,kmeans||,1,10000,15,50,5.0,11.0,0.1,bernoulli,10,52,11.0,223868.38456181495,146033.17345186012,75.0,0.1665506362915039,2.7936298847198486,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,0,42,12.0,230928.47809209785,144357.3806077945,50.0,0.22394871711730957,2.0124032497406006,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,1,43,12.0,228834.54041373852,143009.1820367128,45.0,0.19977569580078125,3.519563674926758,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,2,44,12.0,222599.65921972596,146190.89366733405,21.0,0.19181156158447266,1.2922189235687256,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,3,45,12.0,225438.90672452797,143281.4562590814,41.0,0.23093652725219727,3.0360162258148193,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,4,46,12.0,228994.01371479477,144078.64151428212,39.0,0.17586064338684082,2.848621368408203,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,5,47,12.0,218921.83119181072,144272.83286316114,30.0,0.22135186195373535,1.1326303482055664,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,6,48,12.0,220431.4285776898,143781.1513073944,45.0,0.18359065055847168,2.295267343521118,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,7,49,12.0,234664.6018464841,143565.1595485752,37.0,0.2123706340789795,1.6189019680023193,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,8,50,12.0,222814.21126773758,144479.67150496366,27.0,0.19995880126953125,1.5861570835113525,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,9,51,12.0,226683.3982182697,143574.63127700816,37.0,0.18470144271850586,2.1691701412200928,False
fig52,kmeans||,1,10000,15,50,5.0,12.0,0.1,bernoulli,10,52,12.0,217644.00527126997,145618.94273583023,34.0,0.21732664108276367,1.671051263809204,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,0,42,13.0,223586.5235223769,143592.40286251175,56.0,0.24759697914123535,2.578819751739502,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,1,43,13.0,225701.35158571642,143319.82711365537,33.0,0.1796731948852539,1.4702229499816895,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,2,44,13.0,220809.15028048673,144226.28639647207,22.0,0.23039579391479492,0.733443021774292,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,3,45,13.0,220089.19400705246,144780.7775276345,47.0,0.22718024253845215,3.080225706100464,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,4,46,13.0,224771.85642801406,144121.75501568514,32.0,0.20013999938964844,1.9516475200653076,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,5,47,13.0,217716.55253698485,144672.38902590857,32.0,0.19282007217407227,1.3175044059753418,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,6,48,13.0,212589.23457492754,144035.93183682184,23.0,0.19887900352478027,1.4092261791229248,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,7,49,13.0,232278.32010432254,144787.81449508748,32.0,0.23990511894226074,2.159783124923706,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,8,50,13.0,221364.21731183754,143758.59198842559,37.0,0.22317743301391602,1.4082372188568115,False
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,9,51,13.0,222221.02260735817,143743.3111491874,32.0,0.1969928741455078,0.9964644908905029,False
