k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,workers,l_over_k
500,500,5,5,64,619093.183389738,567163.592676641,96.2204353809357,63.0628771781921,12,50,"[619093.1833897377, 585227.7943816606, 578228.7055430824, 574806.6313507177, 572741.4551140225, 571263.0415209002, 570279.0910633444, 569407.0097421049, 568840.2663276745, 568074.2495335215, 567615.4562781756, 567367.2708231121]","[43.94895100593567, 1.8674976825714111, 1.9353218078613281, 1.783933162689209, 1.760120153427124, 1.6388177871704102, 1.68003511428833, 1.6524477005004883, 1.6578915119171143, 1.662963628768921, 1.704517126083374, 1.664567232131958]",4,1
500,500,5,5,64,630796.966368865,572185.484104225,107.347788333893,73.5587260723114,15,51,"[630796.9663688648, 592831.7312108513, 586197.4341999164, 582458.5500705083, 580187.9791793823, 578625.3073856089, 577584.4383106857, 576710.52402244, 576038.6887811504, 575496.9031061815, 574911.1957719798, 574171.2513598425, 573479.0983187106, 572866.5117891344, 572427.8514830328]","[47.87301516532898, 2.0474443435668945, 1.6853222846984863, 1.7275843620300293, 1.6970751285552979, 1.7310411930084229, 1.869534969329834, 1.9395782947540283, 1.9529955387115479, 2.1677746772766113, 1.673476219177246, 1.7872240543365479, 1.7259113788604736, 1.7175953388214111, 1.705094814300537]",4,1
500,500,5,5,128,630103.607251807,577322.086436403,100.423769950867,55.8769874572754,8,42,"[630103.6072518072, 595625.071282833, 588785.2140021261, 584401.0111743137, 581061.3255497012, 579511.4509586516, 578473.080421646, 577800.6748709083]","[43.83990812301636, 1.8723502159118652, 1.570807695388794, 1.6292822360992432, 1.6503772735595703, 1.7224273681640625, 1.619128942489624, 1.859349012374878]",4,1
500,500,5,5,128,620293.898205926,571286.359504838,121.49902844429,73.482515335083,16,43,"[620293.898205926, 587807.7499688071, 582459.695011802, 579355.5871262072, 577435.8892309595, 576259.6828358946, 575497.25989006, 574888.6859377064, 574351.1774235535, 573797.703750606, 573328.8647663218, 572915.674200142, 572587.5786232679, 572253.4329202017, 571810.8188754227, 571523.9487182288]","[48.18698263168335, 1.8705828189849854, 1.4820430278778076, 1.70517897605896, 1.569035291671753, 1.6625709533691406, 1.6583778858184814, 1.5256197452545166, 1.6136133670806885, 2.0023930072784424, 1.7482984066009521, 1.7711358070373535, 1.633591651916504, 1.616593837738037, 1.6557881832122803, 1.599529504776001]",4,1
500,500,5,5,128,628894.611159953,574295.42268338,87.6903946399689,52.2109184265137,12,44,"[628894.6111599533, 593005.3814661443, 586580.5032599617, 583094.4424196125, 581037.4005755521, 579501.0053588426, 578214.3519551752, 576939.644629621, 576189.4860665445, 575580.7226883338, 575041.237292981, 574625.0412809547]","[33.47236227989197, 1.707566499710083, 1.7462403774261475, 1.7062413692474365, 1.6481435298919678, 1.7340373992919922, 1.6495425701141357, 1.6784725189208984, 1.700390100479126, 1.6032593250274658, 1.6555204391479492, 1.7441480159759521]",4,1
500,500,5,5,128,623871.743689115,570964.508912979,101.856742143631,53.2526526451111,13,45,"[623871.7436891145, 586828.5979152833, 580469.8735767817, 577375.295603715, 575661.5039463297, 574463.5104302051, 573544.7460588792, 572905.2102419789, 572364.595070389, 571954.7539405384, 571611.2055049579, 571291.8964655364, 571079.3084119494]","[32.248547315597534, 1.7539286613464355, 1.5837767124176025, 1.9466934204101562, 1.6295344829559326, 1.6086969375610352, 1.6721844673156738, 1.677858829498291, 1.6681630611419678, 1.8823914527893066, 1.7212419509887695, 1.8015162944793701, 1.935424566268921]",4,1
500,500,5,5,128,623133.342631755,572163.103572432,96.9573419094086,45.7338783740997,12,46,"[623133.3426317548, 591230.746414862, 584866.9295978812, 581196.2512408047, 578750.2544480641, 576785.325296457, 575518.5093074912, 574743.1744672022, 574049.9370276197, 573303.3709401333, 572815.0379275643, 572455.0817104058]","[24.90604281425476, 1.8704838752746582, 2.2353971004486084, 2.180079698562622, 1.8974640369415283, 1.8015363216400146, 1.7609302997589111, 1.774134635925293, 1.6826171875, 1.7433242797851562, 2.048668622970581, 1.6873314380645752]",4,1
500,500,5,5,128,620682.928670749,571069.41987848,81.1877567768097,47.3876287937164,9,47,"[620682.9286707486, 585616.1653456409, 579248.3181830416, 576532.1433917978, 574768.3910894878, 573530.7752551582, 572631.607590418, 571889.7351167108, 571412.4063047873]","[33.25640392303467, 1.9761614799499512, 1.7881789207458496, 1.7207186222076416, 1.6925709247589111, 1.8193178176879883, 1.6316821575164795, 1.6300804615020752, 1.7538468837738037]",4,1
500,500,5,5,128,630301.650637314,569612.634666332,95.7061758041382,58.5284192562103,10,48,"[630301.650637314, 592127.184212195, 583950.8651814915, 579269.6649525698, 576292.6786753822, 574478.404796745, 573141.9782303384, 572044.3330426695, 571182.3100100809, 570055.6671494214]","[42.49837899208069, 1.754276990890503, 1.8583135604858398, 2.113717555999756, 1.6859710216522217, 1.7320871353149414, 1.6486032009124756, 1.6567535400390625, 1.709604024887085, 1.6728200912475586]",4,1
500,500,5,5,128,635317.563074411,571874.921003221,97.8452548980713,59.480349779129,11,49,"[635317.5630744109, 593461.183672623, 585361.214026801, 580407.8625765635, 577871.0373498857, 576207.5769341955, 575030.2443752812, 574170.9952720805, 573458.1059540904, 572794.44572894, 572263.8983060854]","[42.043330669403076, 1.7378361225128174, 1.6461396217346191, 1.740410566329956, 1.8977553844451904, 1.6795992851257324, 1.6813092231750488, 1.7115812301635742, 1.6074707508087158, 1.738304615020752, 1.7784230709075928]",4,1
