artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed,time_total
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,3,45,5.0,56804.73406557981,54715.66893958006,12.0,5.11384654045105,5.273320436477661,False,10.387166976928713
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,4,46,5.0,57416.38555789585,55006.33754922015,17.0,4.856388807296753,5.5254225730896,False,10.381811380386353
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,5,47,5.0,56741.437251135256,54505.356384798055,15.0,4.734346628189087,6.021764516830444,False,10.756111145019531
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,6,48,5.0,57122.63282139065,54222.41064431162,12.0,4.91959810256958,3.785319805145264,False,8.704917907714844
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,7,49,5.0,57070.71672858433,54505.95016276719,15.0,4.588331460952759,6.082217454910278,False,10.670548915863035
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,8,50,5.0,56853.14964061436,54437.73249050318,14.0,5.407363176345825,4.602168560028076,False,10.0095317363739
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,9,51,5.0,56286.201264046336,53866.08641005676,17.0,4.980825185775757,6.751271963119507,False,11.732097148895264
l_sweep,kmeans||,500,1000,5,2.0,64,bernoulli,10,52,5.0,56978.25398567114,54496.599072099474,12.0,5.1060285568237305,5.456044673919678,False,10.562073230743408
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,0,42,5.0,55157.12266090464,54433.97973296205,13.0,7.550466060638428,6.493932008743286,False,14.044398069381714
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,1,43,5.0,55563.60750598439,54699.16349966751,12.0,7.436228513717651,5.453573703765869,False,12.88980221748352
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,2,44,5.0,55228.58991181989,54205.67912190168,14.0,7.4871721267700195,5.566601753234863,False,13.053773880004885
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,3,45,5.0,55305.64762892266,54484.84683249719,17.0,7.456366539001465,6.567957878112793,False,14.024324417114258
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,4,46,5.0,54922.36118997136,54253.33550954323,10.0,7.653890371322632,5.108784914016724,False,12.762675285339355
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,5,47,5.0,55320.82564077314,54553.52690946185,14.0,7.324302911758423,4.372246980667114,False,11.696549892425535
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,6,48,5.0,55050.25079823664,54271.86835011805,10.0,8.059621334075928,5.0233376026153564,False,13.082958936691284
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,7,49,5.0,54878.38078196248,54302.60256614009,14.0,7.322931289672852,6.774965763092041,False,14.097897052764893
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,8,50,5.0,55023.028610839225,54364.9469292392,14.0,7.53046441078186,5.215529680252075,False,12.745994091033936
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,9,51,5.0,54908.93029491506,54118.38487149206,13.0,7.594525098800659,6.285544157028198,False,13.880069255828856
l_sweep,kmeans||,500,2500,5,5.0,64,bernoulli,10,52,5.0,54333.69912396341,53624.7172455029,15.0,7.923599481582642,6.459243535995483,False,14.382843017578123
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,0,42,5.0,54413.44640081657,54263.32647589365,6.0,12.775086641311646,3.9653594493865967,False,16.740446090698242
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,1,43,5.0,55052.06323624493,54833.42498404972,12.0,12.881439447402954,5.781603097915649,False,18.663042545318604
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,2,44,5.0,54874.43611358224,54568.27566714774,12.0,12.16059947013855,5.791855335235596,False,17.952454805374146
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,3,45,5.0,54727.66478279736,54566.79628204017,7.0,12.22972559928894,4.089536905288696,False,16.319262504577637
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,4,46,5.0,54542.470298467735,54313.21775712805,8.0,12.301120042800903,4.939376831054688,False,17.24049687385559
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,5,47,5.0,55057.30945294976,54738.983490824176,13.0,12.462949514389038,5.900543689727783,False,18.36349320411682
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,6,48,5.0,54106.60229115855,53896.014866247984,8.0,12.50622582435608,4.439723014831543,False,16.945948839187622
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,7,49,5.0,54511.34307129315,54298.81417793371,8.0,12.56399631500244,4.652153968811035,False,17.216150283813477
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,8,50,5.0,54736.899921311495,54535.260189252425,7.0,12.179725170135498,4.313795566558838,False,16.493520736694336
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,9,51,5.0,54373.3841336882,54122.85280885051,12.0,11.85204553604126,5.617679119110107,False,17.469724655151367
l_sweep,kmeans||,500,5000,5,10.0,64,bernoulli,10,52,5.0,54854.10270750484,54560.258732420734,11.0,12.287697315216064,5.166184663772583,False,17.453881978988647
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,0,42,5.0,54476.80736613184,54467.42788678824,1.0,20.029810905456543,2.2079081535339355,False,22.23771905899048
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,1,43,5.0,54688.56061242514,54680.21337373823,1.0,20.435303926467896,2.1019628047943115,False,22.537266731262207
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,2,44,5.0,54699.43028134651,54690.7660821035,1.0,19.912217617034912,2.2467644214630127,False,22.158982038497925
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,3,45,5.0,54822.90362038309,54813.71776808082,1.0,19.548357486724854,2.065002918243408,False,21.61336040496826
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,4,46,5.0,54400.70758802729,54391.473653112735,1.0,19.26208186149597,2.216877222061157,False,21.47895908355713
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,5,47,5.0,54645.04436017024,54630.2049554228,2.0,20.957157611846924,2.849472999572754,False,23.80663061141968
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,6,48,5.0,54280.61132005716,54260.75111255365,2.0,20.3486647605896,2.932414054870605,False,23.281078815460205
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,7,49,5.0,54556.69429541632,54537.54559559005,3.0,19.46605372428894,3.088404655456543,False,22.554458379745483
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,8,50,5.0,54725.58678586224,54717.31791790516,1.0,20.52986788749695,2.4558067321777344,False,22.985674619674683
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,9,51,5.0,54025.21864980897,54016.42283960524,1.0,19.489420413970947,2.122711658477783,False,21.61213207244873
l_sweep,kmeans||,500,10000,5,20.0,64,bernoulli,10,52,5.0,54242.701383343134,54225.011745691634,2.0,19.862237215042114,1.4472272396087646,False,21.30946445465088
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,0,42,5.0,54666.35509095916,54666.2272777326,1.0,56.95811820030213,2.656348466873169,False,59.61446666717529
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,1,43,5.0,54057.55800371122,54057.482816153984,1.0,57.7777795791626,2.3720545768737797,False,60.14983415603638
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,2,44,5.0,54374.39676659688,54374.17539201962,1.0,55.00309538841248,2.653093814849853,False,57.65618920326233
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,3,45,5.0,53945.32387155037,53945.22841304492,1.0,57.59065079689026,2.86246109008789,False,60.45311188697815
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,4,46,5.0,54182.420095750254,54182.35390721983,1.0,57.65497970581055,2.8204829692840576,False,60.475462675094604
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,5,47,5.0,54042.41362644814,54042.23894484246,1.0,54.6300699710846,2.9672021865844727,False,57.59727215766907
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,6,48,5.0,54407.03774410582,54406.83275332084,1.0,61.8106861114502,2.5083155632019043,False,64.3190016746521
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,7,49,5.0,54224.052691029865,54223.94793120914,1.0,56.08474540710449,2.454184055328369,False,58.53892946243286
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,8,50,5.0,54406.767038017984,54406.667630588425,1.0,57.3075168132782,2.2144484519958496,False,59.52196526527405
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,9,51,5.0,54122.25171008699,54122.15044013354,1.0,53.80063629150391,2.632916212081909,False,56.433552503585815
l_sweep,kmeans||,500,50000,5,100.0,64,bernoulli,10,52,5.0,54599.165364308894,54598.87304788572,1.0,52.57854962348938,3.0077717304229736,False,55.58632135391235
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,0,42,15.0,41143.5530043704,30271.582529118583,17.0,5.806818962097168,10.320895671844482,False,16.12771463394165
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,1,43,15.0,41732.85716967704,30460.62893777816,23.0,5.951408624649048,13.33667016029358,False,19.288078784942627
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,2,44,15.0,40720.9003774603,30286.220003352755,18.0,5.916800022125244,9.230182886123655,False,15.1469829082489
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,3,45,15.0,40721.18355370402,30292.718493081506,15.0,5.316164016723633,9.906020879745483,False,15.222184896469116
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,4,46,15.0,42491.10487490569,30535.23745157925,19.0,5.347007751464844,12.289506673812866,False,17.63651442527771
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,5,47,15.0,40080.14077921541,29765.033330771406,18.0,5.351100444793701,10.615354299545288,False,15.96645474433899
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,6,48,15.0,40997.87401284711,30038.84503656329,18.0,5.645573377609253,10.963597536087036,False,16.60917091369629
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,7,49,15.0,40697.12782950766,29996.59773434653,19.0,5.418479681015015,10.57451629638672,False,15.992995977401732
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,8,50,15.0,41590.10112271039,30325.800471630777,14.0,5.620263576507568,8.778138875961304,False,14.398402452468872
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,9,51,15.0,40648.80350010004,30088.74250099412,17.0,6.64292573928833,8.186119556427002,False,14.829045295715332
l_sweep,kmeans||,1000,100,5,0.1,64,bernoulli,10,52,15.0,41157.74464654458,30305.76288898193,22.0,5.60745906829834,12.548778772354126,False,18.156237840652462
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,0,42,5.0,35934.86902094335,29560.86431141188,14.0,4.538822412490845,9.311730861663818,False,13.850553274154665
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,1,43,5.0,36273.31640545423,29448.658634243395,19.0,4.99616003036499,11.702555179595947,False,16.698715209960938
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,2,44,5.0,36703.97137947079,29844.472183075217,22.0,4.1743645668029785,13.846981048583984,False,18.021345615386963
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,3,45,5.0,36141.05100154691,29644.567982451863,15.0,4.439639568328857,9.97481656074524,False,14.414456129074097
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,4,46,5.0,36180.77014346871,29562.303329265746,16.0,4.721019744873047,9.895260334014893,False,14.61628007888794
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,5,47,5.0,36063.16817510812,29267.159601080377,15.0,4.64626145362854,9.918970108032228,False,14.565231561660768
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,6,48,5.0,37100.00354415299,29777.27778665236,16.0,4.782756328582764,10.388748168945312,False,15.171504497528076
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,7,49,5.0,36533.07973749903,29680.235665283097,18.0,4.407607555389404,11.287336826324465,False,15.694944381713867
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,8,50,5.0,35768.75274264628,29575.603155110883,16.0,4.529263973236084,10.130584239959717,False,14.6598482131958
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,9,51,5.0,35812.992161521484,29372.230936137785,19.0,4.453567981719971,11.283703804016112,False,15.737271785736084
